ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude
SOM,2023,56628902.28,51665539.5393772,4963362.740622804,0.09606718104317769,False,False,5.152149,46.199616
SOM,2024,33337080.75,54538989.29600559,-21201908.54600559,-0.3887477347798671,True,False,5.152149,46.199616
SOM,2025,56363515.23,42034722.15783634,14328793.072163656,0.3408799282260131,False,False,5.152149,46.199616
SSD,2020,62382675.09,76881062.58326994,-14498387.493269935,-0.1885820383604444,False,False,6.8769919,31.3069788
SSD,2021,69151386.84,62775069.637540266,6376317.202459738,0.10157403630575379,False,False,6.8769919,31.3069788
SSD,2022,49484152.5,63450746.69972204,-13966594.199722037,-0.22011709753107167,False,False,6.8769919,31.3069788
SSD,2023,55600285.75,68597325.13961819,-12997039.389618188,-0.18946860337724425,False,False,6.8769919,31.3069788
SSD,2024,38917034.64,56199451.454922475,-17282416.814922474,-0.3075193150022947,False,False,6.8769919,31.3069788
SSD,2025,44425815.09,45844340.19536967,-1418525.1053696647,-0.030942207900135466,False,False,6.8769919,31.3069788
SYR,2020,68737943.05,54233391.42197699,14504551.628023006,0.26744688553895846,False,False,34.802075,38.996815
SYR,2021,67657796.25999999,65521602.61527004,2136193.6447299495,0.032602890641629356,False,False,34.802075,38.996815
SYR,2022,46030213.83,80527490.37840371,-34497276.54840371,-0.42839130322202834,True,False,34.802075,38.996815
SYR,2023,62485132.45999999,71832772.0753544,-9347639.615354404,-0.13013057056392718,False,False,34.802075,38.996815
SYR,2024,35029130.76,62481214.06814805,-27452083.30814805,-0.4393653951443094,True,False,34.802075,38.996815
SYR,2025,49657611.71,34844220.04215524,14813391.667844757,0.4251319630608237,False,True,34.802075,38.996815
TCD,2025,10616291.93,21546111.156695724,-10929819.226695724,-0.5072757281909384,True,False,15.454166,18.732207
UKR,2020,10725140.42,8087407.784979967,2637732.6350200325,0.3261530400283339,False,False,48.379433,31.16558
UKR,2021,14792256.46,10190054.343108233,4602202.116891768,0.4516366607999829,False,True,48.379433,31.16558
UKR,2022,192664497.06,13061822.739175683,179602674.32082433,13.750199945842997,False,True,48.379433,31.16558
UKR,2023,183672269.28,21368124.10786819,162304145.1721318,7.595619734928816,False,True,48.379433,31.16558
UKR,2024,164338871.75,119070723.15773104,45268148.59226896,0.38017866518122156,False,True,48.379433,31.16558
UKR,2025,201206937.33,123462823.56823374,77744113.76176627,0.6296965476316012,False,True,48.379433,31.16558
VEN,2021,11456037.35,29524395.005011298,-18068357.655011296,-0.6119806232081803,True,False,6.42375,-66.58973
VEN,2022,9392778.19,15043216.143051932,-5650437.953051932,-0.37561369186746163,True,False,6.42375,-66.58973
VEN,2023,12163013.0,17919408.89119574,-5756395.891195741,-0.32123804563798997,False,False,6.42375,-66.58973
VEN,2024,12613729.78,16631960.217770694,-4018230.4377706945,-0.2415969245451508,False,False,6.42375,-66.58973
VEN,2025,8965515.94,5974329.0325838085,2991186.907416191,0.5006732791418664,False,True,6.42375,-66.58973
YEM,2020,99093834.22,133935343.37610269,-34841509.15610269,-0.26013678150855635,False,False,15.552727,48.516388
YEM,2021,113004284.5,102766638.92738688,10237645.57261312,0.09962032114183339,False,False,15.552727,48.516388
YEM,2022,78568691.27000001,106831865.47138198,-28263174.201381966,-0.26455752763161366,False,False,15.552727,48.516388
YEM,2023,85897174.57,120579809.35040066,-34682634.78040066,-0.2876321912204568,False,False,15.552727,48.516388
YEM,2024,37084897.52,139159463.1642329,-102074565.6442329,-0.7335079003845162,True,False,15.552727,48.516388
YEM,2025,22622083.55,52345195.97786458,-29723112.427864578,-0.5678288498610973,True,False,15.552727,48.516388
